NUMERO_SITE,NO_VGE,GEO1,GEO2,STATUT,BENNE,MODELE_BENNE,COMMUNE,ADDRESSE,HORAIRES,RIVE,TYPE_CENTRE,PHOTO,PAPIER,VERRE,PET,PET_CONTENEURS,ALU,FER,FER_ALU,CAPSULE_CAFE,PILE,TEXTILE,HUILE_MINERALE,HUILE_VEGETALE,DECHET_ENCOMBRANT,FERRAILLE,GRAVAT,MATIERE_INERTE,MAT_INCINERABLE,BRANCHE,FRIGO,SPECIAUX_MENAGER,ORDURE_MENAGERE,DECHETS_CUISINE,DECHETS_JARDINS,DECHETS_ORGANIQUES,AUTRE_DECHET,SHAPE.AREA,SHAPE.LEN
24-062,62.0,46.190111,6.164409,Existante,En surface,En surface,Genève,"Avenue eugene-pittard 36, Geneva ",,Gauche,,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_62.pdf,,,,,,,,,Oui,,,,,,,,,,,,,,,,,3.0640128,7.231106122740679
23-015,15.0,46.213756,6.136951,Existante,Enterrée,Non renseigné,Genève,"Rue du grand-pre 20, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_15.pdf,,Oui,Oui, ,Oui, , ,Oui,Oui,Oui, , , , , , , , , , , , , ,, ,9.57022208,13.6254077102257
21-005,5.0,46.211998,6.146523,Existante,Enterrée,Non renseigné,Genève,"Rue de neuchatel 39, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_5.pdf,,Oui,Oui, ,Oui, , ,,Oui,, , , , , , , , , , , , , ,, ,12.9875968,17.207491870508502
23-095,95.0,46.206454,6.12869,Existante,Enterrée,Non renseigné,Genève,"Rue des cedres, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_95.pdf,,Oui,Oui, ,Oui, , ,Oui,Oui,Oui, , , , , , , , , , , , , ,, ,12.42267648,15.504729413436001
24-108,108.0,46.186738,6.158918,Existante,Enterrée,Non renseigné,Genève,"Avenue de miremont 46, Geneva	",,Gauche, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_108.pdf,,Oui,Oui, ,Oui, , ,Oui,Oui,Oui, , , , , , , , , , , , , ,, ,13.21975808,14.6029419157019
21-077,77.0,46.20732,6.145029,Existante,Enterrée,Non renseigné,Genève,"Rue du cendrier 7, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_77.pdf,,Oui,Oui, ,Oui, , ,,Oui,Oui, , , , , , , , , , , , , ,, ,18.1714944,21.3759129083621
23-033,33.0,46.211555,6.130187,Existante,Enterrée,Non renseigné,Genève,"Rue faller 11, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_33.pdf,,Oui,Oui, ,Oui, , ,Oui,Oui,Oui, , , , , , , , , , , , , ,, ,13.30225152,14.3693939765068
23-094,94.0,46.215014,6.121264,Existante,Enterrée,Non renseigné,Genève,"Cite villars 34, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_94.pdf,,Oui,Oui, ,Oui, , ,Oui,Oui,, , , , , , , , , , , , , ,, ,13.77378304,14.884754117914799
22-080,80.0,46.193709,6.160348,Existante,Enterrée,Non renseigné,Genève,"Route de florissant 50, Geneva	",,Gauche, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_80.pdf,,Oui,Oui, ,Oui, , ,Oui,Oui,Oui, , , , , , , , , , , , , ,, ,12.98341888,17.1984140065459
21-049,49.0,46.202475,6.148071,Existante,En surface,Non renseigné,Genève,"Rue de la madeleine 5, Geneva	",,Gauche, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_49.pdf,,Oui,, ,, , ,,,, , , , , , , , , , , , , ,, ,6.26843648,11.7217625830011
21-063,63.0,46.214461,6.149738,Existante,Enterrée,Non renseigné,Genève,"Rue rothschild 21, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_63.pdf,,Oui,Oui, ,Oui, , ,Oui,Oui,, , , , , , , , , , , , , ,, ,14.20394496,17.7574944918563
22-048,48.0,46.191287,6.163775,Existante,Enterrée,Non renseigné,Genève,"Rue giovanni-gambini 8, Geneva	",,Gauche, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_48.pdf,,Oui,Oui, ,Oui, , ,,Oui,Oui, , , , , , , , , , , , , ,, ,12.95187968,17.1892327507245
24-072,72.0,46.189687,6.142177,Existante,Enterrée,Non renseigné,Genève,"Rue de la maladiere 9, Geneva	",,Gauche, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_72.pdf,,Oui,Oui, ,Oui, , ,Oui,Oui,Oui, , , , , , , , , , , , , ,, ,9.6698368,13.839913294119299
24-103,103.0,46.188701,6.159041,Existante,Enterrée,Non renseigné,Genève,"Chemin des clochettes 18, Geneva	",,Gauche, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_103.pdf,,Oui,Oui, ,Oui, , ,Oui,Oui,Oui, , , , , , , , , , , , , ,, ,16.26308608,18.4589108036314
21-014,14.0,46.211914,6.137928,Existante,En surface,Non renseigné,Genève,"Rue louis-favre 43, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_14.pdf,,Oui,, ,Oui, , ,,Oui,Oui, , , , , , , , , , , , , ,, ,6.32389632,11.3559033713698
23-101,101.0,46.215776,6.135333,Existante,Enterrée,Non renseigné,Genève,"Rue de vermont 10, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_101.pdf,,Oui,Oui, ,Oui, , ,,Oui,, , , , , , , , , , , , , ,, ,9.94312192,14.0005926109415
23-074,74.0,46.222376,6.134709,Existante,En surface,Non renseigné,Genève,"Chemin de sous-bois 16, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_74.pdf,,Oui,, ,, , ,,Oui,Oui, , , , , , , , , , , , , ,, ,3.93859072,8.19515384609789
24-031,31.0,46.191224,6.157828,Existante,Enterrée,Non renseigné,Genève,"Rue maurice-barraud 2, Geneva	",,Gauche, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_31.pdf,,Oui,Oui, ,Oui, , ,Oui,Oui,Oui, , , , , , , , , , , , , ,, ,13.37171968,17.276804890850798
23-106,106.0,46.22496,6.126144,Existante,Enterrée,Non renseigné,Genève,"Chemin moise-duboule 8, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_106.pdf,,Oui,Oui, ,Oui, , ,Oui,Oui,Oui, , , , , , , , , , , , , ,, ,10.09369088,14.0871783639411
22-008,8.0,46.200664,6.164344,Existante,En surface,Non renseigné,Genève,"Avenue de chamonix 5, Geneva	",,Gauche, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_8.pdf,,Oui,Oui, ,Oui, , ,,Oui,Oui, , , , , , , , , , , , , ,, ,14.43080192,15.271660396844899
